DATE,CPIECOMEDU_PC1
2013-01-01,0.85950
2013-02-01,1.15184
2013-03-01,1.20672
2013-04-01,0.78454
2013-05-01,0.60475
2013-06-01,0.44696
2013-07-01,0.80644
2013-08-01,1.04843
2013-09-01,1.30049
2013-10-01,1.27988
2013-11-01,1.19286
2013-12-01,1.23148
2014-01-01,1.23547
2014-02-01,0.70616
2014-03-01,0.62741
2014-04-01,1.07535
2014-05-01,1.09333
2014-06-01,1.18746
2014-07-01,1.15815
2014-08-01,1.14192
2014-09-01,0.88331
2014-10-01,0.34992
2014-11-01,0.14215
2014-12-01,-0.06412
2015-01-01,-0.34068
2015-02-01,-0.29670
2015-03-01,-0.33978
2015-04-01,-0.40403
2015-05-01,-0.61099
2015-06-01,-0.59927
2015-07-01,-0.68401
2015-08-01,-0.66039
2015-09-01,-0.34112
2015-10-01,0.28138
2015-11-01,0.62751
2015-12-01,0.71095
2016-01-01,0.68368
2016-02-01,0.58479
2016-03-01,0.58841
2016-04-01,0.46102
2016-05-01,0.39711
2016-06-01,0.25590
2016-07-01,0.11970
2016-08-01,0.19995
2016-09-01,-0.56043
2016-10-01,-1.05953
2016-11-01,-0.98141
2016-12-01,-0.89102
2017-01-01,-0.95667
2017-02-01,-0.93572
2017-03-01,-2.86636
2017-04-01,-3.09355
2017-05-01,-2.99419
2017-06-01,-2.93749
2017-07-01,-2.95343
2017-08-01,-3.10648
2017-09-01,-2.56995
2017-10-01,-2.11043
2017-11-01,-2.01789
2017-12-01,-1.92575
2018-01-01,-2.00299
2018-02-01,-2.28240
2018-03-01,-0.52607
2018-04-01,-0.28609
2018-05-01,0.21990
2018-06-01,0.56873
2018-07-01,0.92219
2018-08-01,0.94684
2018-09-01,1.10440
2018-10-01,0.67006
2018-11-01,-0.22164
2018-12-01,-0.29493
2019-01-01,-0.13018
2019-02-01,0.29940
2019-03-01,0.41934
2019-04-01,0.64689
2019-05-01,0.39442
2019-06-01,0.22425
2019-07-01,0.33171
2019-08-01,0.50873
2019-09-01,0.29751
2019-10-01,0.75829
2019-11-01,1.98673
2019-12-01,1.95249
2020-01-01,2.16098
2020-02-01,2.13032
2020-03-01,2.16686
2020-04-01,2.26903
2020-05-01,2.11565
2020-06-01,1.95276
2020-07-01,2.85389
2020-08-01,2.82074
2020-09-01,2.73283
2020-10-01,2.72122
2020-11-01,2.22942
2020-12-01,2.24706
2021-01-01,1.97813
2021-02-01,2.07634
2021-03-01,1.99767
2021-04-01,2.13558
2021-05-01,2.47734
2021-06-01,2.70041
2021-07-01,1.62779
2021-08-01,1.85369
2021-09-01,2.09889
2021-10-01,2.13227
2021-11-01,1.91236
2021-12-01,1.90028
2022-01-01,1.82315
2022-02-01,1.70358
2022-03-01,1.48210
2022-04-01,0.85095
2022-05-01,0.50734
2022-06-01,0.49666
2022-07-01,0.16194
2022-08-01,-0.25424
